,summary,link,article,title,time
10,Golden State Warriors ,https://nesn.com/2021/08/nba-rumors-76ers-ben-simmons-open-to-joining-this-team-in-trade/,"NESN Logo Sign In

Ben Simmons apparently is willing to go west, as so many young men have before.

The Philadelphia 76ers guard no longer is speaking to the team and would accept a trade to the Golden State Warriors, KRON’s Jason Dumas reported Thursday, citing a source. Trade rumors have surrounded Simmons for several weeks, and the Warriors are among the teams the 76ers reportedly have sought out as potential trade partners.

“Source: Ben Simmons has cut off communication with basically everyone in the Sixers organization,” Dumas wrote in a tweet. “Everything is going thru his agent, Rich Paul. Ben is open to going to the GSWs though he doesn’t have much leverage in the situation.”

Source: Ben Simmons has cut off communication with basically everyone in the Sixers organization. Everything is going thru his agent, Rich Paul. Ben is open to going to the GSWs though he doesn?t have much leverage in the situation. — Jason Dumas (@JDumasReports) August 5, 2021

The Sixers reportedly offered to trade Simmons to the Warriors last month in exchange for a package that included James Wiseman, Andrew Wiggins and multiple draft picks. However, Golden State reportedly rejected Philadelphia’s proposal.

Dumas on Thursday offered additional insight about Simmons’ willingness to join the Warriors.

“The situation is getting worse by the day with Ben in Philly,” Dumas said during his appearance on 95.7 The Game’s “The Morning Roast” show, per NBC Sports Bay Area. “It’s a marriage that’s beyond repair at this point. He doesn’t want to go to a bad situation. He’s reading the tea leaves like everyone else. He sees (the) Toronto (Raptors), he sees (the) Portland (Trail Blazers).",NBA Rumors: 76ers’ Ben Simmons Open To Joining This Team In Trade,2021-08-05 12:10:15
11,She ran into the wrong lane. ,https://www.yahoo.com/sports/why-anna-cockrell-disqualified-womens-060201754.html,"Why Anna Cockrell Was Disqualified From Women's 400m Hurdles Final originally appeared on NBC Sports Northwest

Anna Cockrell was disqualified from the women’s 400m hurdles final at the Tokyo Olympics Tuesday night.

While Cockrell didn’t appear to make any violations during the race the announcers didn’t explain why she was disqualified leading many to wonder what exactly happened.

It was revealed that Cockrell committed a violation by running into the wrong lane. The violation was confirmed by NBC after the live broadcast of the event had finished.

Sydney McLaughlin won the gold medal with a world record time of 51.46 seconds.

2016 Rio Champion Dalilah Muhammad finished just .02 seconds behind McLaughlin to win the silver medal.

Cockrell, a native of Charlotte, N.C. qualified for the final posting a 54.17 second time in the 400m hurdles semifinal Monday. She came in second behind Femke Bol, who went on to win the bronze medal in the final.",Why Anna Cockrell Was Disqualified From Women's 400m Hurdles Final,2021-08-04 06:52:48
12,"He texted (paraphrased)
""hey Alex, just want to let you know they'll fix you right up, you'll be good as new... I'm out here and I don't feel any pain from my injury three years later""
He felt bad because Smith's leg ended up needing 17 surgeries
",https://www.audacy.com/610sports/sports/ryan-fitzpatrick-on-regrettable-text-he-sent-to-alex-smith,"It's always the thought that counts in a nice gesture, and 99 percent of the time, performing said nice gesture leaves you feeling all warm and fuzzy inside. But there are also times when this isn't the case — like, for instance, finding out that a co-worker is taking the day off and telling them to enjoy it, only to find out that he/she is missing work for a funeral. Trust me... I know from experience.

And the same goes for Ryan Fitzpatrick, the longtime quarterback who's beloved by fans and players alike but had one innocent gesture that didn't quite turn out the way he had planned. He shared a story about a message he sent to Alex Smith on the ""Green Light with Chris Long"" podcast.

""He was picked No. 1, I was pick No. 250, but he was always really nice to me going through the (draft) process and I've always appreciated him over the years,"" Fitzpatrick said, referring to their 2005 NFL Draft class. ""When Alex broke his leg in that game a few years ago, I had a what I thought was similar injury. I fractured my tibia in 2014 with the Houston Texans and so the single-worst... text I've ever sent out, I sent to Alex.

""And I said, 'hey Alex, just want to let you know they'll fix you right up, you'll be good as new... I'm out here and I don't feel any pain from my injury three years later,' or whatever, whenever it was. And I sent it and felt good about it. And he said, 'Oh, mine might be a little more complicated.' And 17 surgeries later and the story of what he had to overcome, I mean, I felt like the biggest a------ ever.

""...But what he did last year was, it was incredible for him to get back on the field and I was very happy after sending that text that he didn't lose his leg.""

Smith's miraculous recovery story was one of the defining moments — perhaps the defining moment — of the 2020 NFL season, but that doesn't necessarily mean that it was easy for everyone to watch. In fact, it was quite the opposite, and Smith remembers just how poor the conditions were for such a return.

""I think the first [game] that he got put in was against the Rams and it was just images of Aaron Donald jumping on his back and him sitting there having to hold Aaron Donald on his back, and [he] got sacked a bunch that game, and it was pouring rain, and it just seemed like it was a miserable experience,"" Fitzpatrick said. ""I don't want to speak for Alex, but I'll say that I assume that it was such a huge personal challenge for him just to prove that he could do it, that he could come all the way back, and I think it was a really inspirational story for a lot of people watching him do that.""

When Fitzy learned about Alex Smith’s retirement... he remembered the worst text he’s ever sent pic.twitter.com/vUNiInJZfU — baseball knowing king chris long (@JOEL9ONE) April 20, 2021

Smith won Comeback Player of the Year, leading the Washington Football Team to a 5-1 record in his six starts and leading the league in passing yards (390) in just his first start of the season. The fact that he returned from an injury that threatened not only his leg but his whole life was a remarkable way for him to cap off an excellent career. After such an improbable feat, Smith decided to hang 'em up earlier this week.

Related

How would Fitzpatrick sum up Smith's legacy outside of the injury?

""I think, you know, it's a goofy label and sometimes gets used too much, but I'm gonna use it for him,"" Fitzpatrick said. ""He was a winner. I mean, he won when he was in San Fran at the tail end there, when he was in Kansas City, and [it] wasn't always the 300-yard games and five touchdown passes and the way it kind of happens now with some of these young kids.

""But everywhere he went, he made the team better.""

LISTEN on the Audacy App

Sign Up and Follow Audacy Sports

Facebook | Twitter | Instagram",Ryan Fitzpatrick sent Alex Smith a text after his injury that made him feel like 'biggest a–—– ever',2021-04-23 12:27:14
13,"Most consecutive stolen bases without getting caught to begin a career.
",https://www.cbssports.com/mlb/news/diamondbacks-speedster-tim-locastro-sets-mlb-stolen-base-record-with-28th-swiped-bag/,"Arizona Diamondbacks outfielder Tim Locastro stole his 28th career base in Saturday night's game against the Cincinnati Reds. With it, Locastro broke the Major League Baseball record for most successful stolen bases to start a career. Since making his MLB debut in 2017 for the Los Angeles Dodgers, he's gone 28 for 28 on his stolen base attempts. His mark of 28 stolen bases passes Hall of Famer Tim Raines, who stole 27 in a row from 1979-81. Records for successful stolen bases attempts have been kept since 1951.

Here's a look at stolen base No. 28:

Locastro, 28, will send his cleats that he wore for the record-breaker to the National Baseball Hall of Fame and Museum.

""Obviously you always want to get into Cooperstown,"" Locastro told reporters after the game. ""That's what you dream about as a kid, winning the World Series and getting into Cooperstown. So, having my cleats there, that's unfathomable to me.""

The speedy Locastro -- who boasts an elite sprint speed of 30.9 feet per second -- grew up two hours from the Hall of Fame, in Auburn, New York. While Locastro's spikes will be featured in the Hall of Fame, he received second base as a keepsake for breaking the MLB record. The grounds crew at Chase Field retrieved it, and the base was authenticated.

Locastro gave his mom the base after the game:

Locastro's impact wasn't limited to the base paths in the D-Backs' 8-3 win over the Reds. He hit in the leadoff spot (for the third consecutive game) and finished with four singles, two runs scored and the record-breaking stolen base. Locastro will continue filling in as Arizona's regular center fielder in the absence of Ketel Marte, who is on the 10-day injured list with a right hamstring strain.",Diamondbacks speedster Tim Locastro sets MLB stolen base record with 28th swiped bag,2021-04-12 10:14:50
14,"Doctors found a blood clot in his lung and were able to treat it successfully.
",https://yhoo.it/2QbpT3y,"NCAA basketball official Bert Smith hasn't watched the moment that might have saved his life.

Smith abruptly collapsed during an Elite Eight game between No. 1 seed Gonzaga and No. 6 seed USC last month in the men's NCAA tournament. It was a scary moment as an audible thud was heard throughout Lucas Oil Stadium, and the official was taken off the court on a stretcher, though he was awake and alert.

Smith told the Indianapolis Star's Gregg Doyel he doesn't remember falling and hasn't seen a replay, but what doctors found that night could have been life-saving.

NCAA ref on stretcher photo

Smith, who became an NCAA Division I official in 1993, said he remembers the play preceding the fall. The action was moving away from his baseline position after a Gonzaga steal, but he said he couldn't move or catch his breath. He felt wobbly and the next thing he remembers seeing is the ceiling of the stadium.

Immediately after falling, Gonzaga assistant coach Tommy Lloyd ran to him and the bench waved for doctors. He was surrounded by medical professionals and eventually was helped on to a stretcher.

He's grumpy in the now-famous photo of him on it and told Doyel he was tricked.

“The doctor said, ‘Listen, tell you what, why don’t you just sit on the stretcher?’ I said OK, I can do that,” Smith says and now he’s laughing. To me, he offers an aside: “He’s taking advantage of a guy in a weakened position.”

He continues the story:

“The doc says, ‘Swing your legs around.’ I swing my legs around, and they go: Click-click-click-click. They strapped me in! I looked at him and said, ‘Oh no you didn’t …’”

He said he told the doctor at the time, ""You little SOB, you tricked me!”

Fall could have saved official's life

Referee Bert Smith said he was 'tricked' into getting on the stretcher after his collapse on the court. (AP Photo/Michael Conroy)

The NCAA announced later in the night that Smith was ""alert and stable"" and would not be transported to a hospital. Per the Star, he was treated at the stadium for two hours with vital checks on pulse, blood pressure and oxygen level that came back normal. He didn't have a headache or blurry vision.

Story continues

A few hours later, his officiating friends joined him at the hotel and suggested he go to the hospital to be evaluated for a concussion, just in case. At IU Health Methodist, the 56-year-old Smith was treated by Dr. Katie Trammel, ""an important part of this story.""

Via the Star:

“She sits down next to the bed,” Smith continues, “and she says: ‘I saw your fall tonight. Something doesn’t add up. I want to know why you fell.’ She checked a few things out, came back in and took me through the car wash. Just a lot of tests. And they found out.

“She said: ‘I got the answer to the question. You went down because you had a blood clot in your lung.’”

Smith’s pausing. Dr. Katie Trammel, he’s wanting me to know, may have saved his life.

“You don’t know where that clot was going next,” he says.

Smith was put on blood thinners and discharged two days later with the clot gone. No one knows where the clot came from, per the Star. He said the night before the game, while running the stairs in the hotel to see his buddies or get ice, he was a little out of breath. He gets exercise any time he can and officiates around 90 games a year for the NCAA.

It could have been a red flag, he said doctors told him, but then again ""sometimes it just hits you.""

Smith is back home in Kentucky with his wife, Jacquie, and his grandson, Karter. He said he'll be back officiating next season. He told the Star he's happy it happened during the Elite Eight when he could get the right help he needed rather than during an instance when he was driving or sleeping.

More from Yahoo Sports:",NCAA ref Bert Smith says on-court collapse during Elite Eight saved his life,2021-04-09 11:17:53
15,$2.25 Million USD ,https://nesn.com/2021/04/tom-brady-rookie-card-new-engnald-patriots-days-sold-for-how-much/,"NESN Logo Sign In

Tom Brady breaks records on the field, Tom Brady breaks records off the field.

Brady, the six-time Super Bowl champion quarterback, now represents the record high for any football card ever on the sporting card market. Brady’s rookie card sold for $2.25 million Friday, almost $1 million more than the previous record of $1.32 million, which, of course, belonged to Brady, as well.

The card, recognized as a 2000 Playoff Contenders Championship Rookie Ticket card, is autographed and numbered 99 out of 100 signifying only 100 copies of the particular card were made and produced.

The card that sold Friday, as explained by ESPN, was graded as an 8.5 with a 9 on the autograph. The version that sold in March for $1.32 million was graded as an 8 with the autograph graded a 10.

Check it out:

Brady’s rookie card first broke the record in March as he beat out a Patrick Mahomes card that sold for $861,000 in the beginning of February.",Wait… Tom Brady Record-Breaking Rookie Card Sold For How Much?!,2021-04-03 17:21:34
16,"The Patriot League hasn't played many non-conference games so they're a mathematical outlier.
",https://sports.yahoo.com/how-ncaa-rankings-have-tiny-colgate-ahead-of-a-handful-of-powerhouses-221121339.html?ncid=facebook_yahoosport_l0w2dc1068w,"The top seven teams in the NCAA’s NET rankings include unbeaten Gonzaga, one-loss Baylor and a trio of Big Ten heavyweights with national title aspirations.

Then there’s No. 8: A small-conference afterthought that has never won an NCAA tournament game in program history, nor even once appeared in the AP Top 25.

How is Colgate — the No. 2 seed in this week’s Patriot League tournament — ranked ahead of 2019 national champ Virginia, blue blood Kansas and powerhouses Ohio State and Villanova? Even the coach of the Raiders didn’t see this coming.

“It’s a mathematical outlier,” Matt Langel told Yahoo Sports. “It’s an interesting tidbit in what has been the craziest college basketball season in my lifetime.”

The explanation for Colgate’s top-10 NET ranking begins with the COVID-19 pandemic’s impact on the Patriot League’s schedule. The league did not allow six of its eight teams to start their seasons until Jan. 2. Only Army and Navy were exempt and had permission to schedule games in November and December.

As a result of that decision, the totality of the Patriot League’s non-league schedule this season consists of nine games involving either Army or Navy. Army went 4-1 including a narrow loss to Florida and an impressive win over mid-major power Buffalo. Navy went 3-1 including an upset of Georgetown.

In a normal year, the NET rankings — a metric created to help select and seed NCAA tournament hopefuls — would evaluate the strength of the Patriot League on the results of roughly 100 non-conference games. In this pandemic year, only nine data points are available. Army and Navy outperforming expectations in those nine games is dramatically warping the NET’s perception of the league as a whole.

“Basically, Colgate and the Patriot League are a closed system,” college basketball analytics expert Bart Torvik told Yahoo Sports. “You can't really use results from just this year with no priors of any kind and compare those teams against the rest of D-I because there’s no connectedness.”

Story continues

(Michael Wagstaffe/Yahoo Sports illustration)

Colgate has soared higher in the NET rankings than its Patriot League peers because of its 12-1 record and impressive margin of victory. Because the Patriot League broke its teams into three divisions to help limit travel, Colgate has only played three opponents: Army, Boston University and Holy Cross. The Raiders’ lone loss came by two against Army. They won the rest of their games by an average of nearly 19 points apiece.

“When you beat your opponents by such a huge margin, that shows up,” said data scientist Ed Feng, founder of The Power Rank.

While it’s theoretically possible that the Patriot League could produce a team worthy of a high ranking, recent history suggests it’s unlikely. Only twice in the 2000s has the Patriot League’s NCAA tournament entrant received better than a No. 13 seed. The league has not produced an NCAA tournament victory since 15th-seeded Lehigh toppled mighty Duke in 2012.

Other respected college basketball analytics experts have avoided overrating the Patriot League this season by incorporating data from previous years into their rankings. The assumption that the league would have performed at its recent average level in non-conference play makes a huge difference.

Colgate is 80th in Torvik’s tempo-free rankings. Ken Pomeroy has the Raiders 89th.

“The preseason weighting helps anchor the Patriot League in a more realistic way,” Pomeroy told Yahoo Sports. “The weighting only applies to cases where teams have played few games, so it influences the Patriot League while not being a factor for the vast majority of teams at this point.”

While the NCAA’s algorithm does not include data from previous seasons, Colgate’s top-10 NET ranking isn’t likely to dramatically alter the selection committee’s perception of the Raiders. NCAA spokesman David Worlock cautioned that the NET is “just one tool” and that “other metrics and criteria factor into the committee’s decision for selecting and seeding teams.”

Many mock NCAA tournament brackets project Colgate as a No. 13 or 14 seed if it wins this week’s Patriot League tournament. The Raiders received a No. 15 seed two years ago and lost a first-round matchup to Tennessee.

“I don’t think we’re going to get a seed that is similar to where our NET ranking is or even close,” Langel said, “but my hope is that maybe we can bump up a spot or two.”

The most tangible impact of Colgate’s high NET ranking is that Langel’s phone has rung more often than usual the past few weeks. Coaches of teams on the NCAA tournament bubble keep calling to try to hastily arrange a game.

Stoppages and outbreaks caused an unusual number of teams to scramble to fill holes in their schedules. What better way to do that than by scheduling the Raiders in hopes of earning a résumé-boosting Quadrant 1 victory without having to beat a traditional power?

“I fielded a number of calls from bubble teams as the season was winding down,” Langel said. “My angle was to try to get them to come here. I think a testament to our team is that nobody really had a lot of interest in doing that. They wanted to play us, but they wanted to play us in their venue.”

Colgate’s top-10 NET ranking has also garnered attention from coaches eager to assess how the Raiders did it. They all want to know if this is strictly a COVID anomaly or if there’s a lesson to be learned in how to game the NET in the future.

Among those qualified to answer that question is Matt Dover, co-owner of an analytics company that helps coaches optimize their non-league schedules to maximize their chances of making the NCAA tournament. It’s Dover’s belief that this is simply a “weird artifact of a weird season” — not a loophole to be exploited again and again.

“The NET is built to be pretty hard, if not impossible to game, under normal circumstances,” Dover told Yahoo Sports. “This is just a unique situation caused by the Patriot League playing so few non-conference games. That is leaving the entire league vulnerable to huge statistical swings that there won’t be in future years.”

Could another one-bid league gamble, only play a handful of strategically selected non-league games and hope to outperform expectations the way Army and Navy did this season? In theory, maybe. In reality, too many small-conference teams rely on the revenue generated by playing road non-conference games in return for tens of thousands of dollars.

“What are they going to do?” Dover said. “Totally forgo the option of playing those? Because that’s what you’d have to do. You’d have to limit it to a tiny, tiny sample size. Once you get up to a slightly larger sample size — every team playing a few non-conference games for example — it would be much less likely you’d get something super skewed.”

More from Yahoo Sports:",How NCAA rankings have tiny Colgate ahead of a handful of powerhouses,2021-03-11 09:48:45
17,"Toxicology reports and further investigation take 1-2 months to complete
",https://sports.yahoo.com/as-public-frustration-mounts-over-britt-reid-crash-heres-why-he-hasnt-been-charged-yet-194441536.html?ncid=facebook_yahoosport_l0w2dc1068w,"Nearly one month ago, then-Kansas City Chiefs assistant coach Britt Reid acknowledged he had a few drinks, got behind the wheel of a truck and slammed into two cars that were pulled over at a Kansas City highway entrance.

Yet Reid, the son of Chiefs head coach Andy Reid, remains a free man, still awaiting a Kansas City police investigation to determine whether he’ll face charges.

That continued uncertainty has frustrated many, who in the meantime have followed what remains an ominous prognosis for the 5-year-old girl who was in the backseat of one of the hit vehicles and critically injured during the crash.

Ariel Young woke up from a coma last month. That’s about the only positive news. Her family and their attorney report she remains unresponsive and can neither speak nor walk.

“She likely has permanent brain damage that she will endure for the rest of her life,” Tom Porto, the family’s attorney told ABC.

“She is not the same happy, free-spirited little girl she was before this horrific crash,” her aunt Tiffany Velhurst wrote on a GoFundMe page that is attempting to raise money for the family.

Kansas City Police told Yahoo Sports on Tuesday that the investigation into the incident is ongoing and there are no updates.

KCPD originally stated that similar cases take at least 1-2 months, as it awaits toxicology reports and further investigation. That timetable is still in play. Toxicology results alone in Jackson County, Missouri can sometimes take three months to be returned, according to locals with knowledge of the system.

Kansas City police are asking for patience as they work to determine whether or not former Chiefs assistant Britt Reid should be charged for the car crash that put 5-year-old Ariel Young in a coma. (Photo by George Gojkovich/Getty Images)

According to a search warrant to draw blood from Reid, the 35-year-old acknowledged to officers on the scene that he had consumed 2-3 drinks prior to driving and was taking prescription Adderall. He was not arrested on the scene for suspicion of drunk driving or any charge.

The fact Reid was taken to an area hospital, where he underwent surgery for injuries sustained in the crash, may have played a part in that decision. While the lengthy delay in charges remains a topic of discussion, police and independent local defense attorneys say this is standard operating procedure, particularly for a high-profile case involving a critical injury.

Story continues

“While many point to alleged statements made by Mr. Reid to law enforcement as a reason to charge, this was a devastating incident with catastrophic consequences,” said Chris Scott of the Christopher Scott Law Office in Kansas City.

Scott does not represent Britt Reid, but both as a former county prosecutor and now a defense attorney, he has extensive background in DUI cases.

“Law enforcement needs as much information as possible before turning the investigation over to prosecutors for a charging decision,” Scott said. “It could be more than just toxicology results they are waiting for. There could be accident reconstruction taking place, other witnesses needing to be tracked down, or other issues they need to resolve.”

As for a timetable, no one can reasonably know. Police have asked for patience and continue to stress they are doing what they can.

“If toxicology reports are pending, those could come in tomorrow or take weeks or months to come back,” Scott said.

Then and only then will local prosecutors decide whether to pursue charges.

“Ultimately, he will only be arrested if criminal charges are filed,” Scott said.

In a statement last month following the crash, the Chiefs said they were “gathering information” themselves on the situation, but offered no details or update to Yahoo Sports this week. The team instead pointed to their previous statement.

What the Chiefs have found could have a significant impact on the case and the NFL itself. The accident occurred around 9 p.m. on the ramp leading from Stadium Drive to Interstate 435. That’s when Reid struck two vehicles, including one that carried Ariel. Her mother had driven to the spot to aid a cousin who had run out of gas.

It is the most direct route from the Chiefs' facility, where the coaching staff was working to prepare for the Super Bowl, toward Reid’s home in Overland Park, Kansas.

Due to NFL COVID-19 restrictions, Reid was prohibited from visiting any bars, restaurants or even a private residence. Doing so would have prevented not only him but anyone he contact-traced with from working the Super Bowl. Even then, there is no place to drink that would require taking Stadium Drive home.

As such, the suspicion is that Reid was drinking inside the Chiefs' facility, which like all NFL buildings has extensive video and professional surveillance and security.

Reid has a history of legal and substance abuse problems, including a prior DUI in Pennsylvania. The Chiefs overlooked that in the spirit of nepotism and gave Reid a job as their outside linebackers coach.

Reid was quickly suspended by the team following the crash. He did not travel to the Super Bowl, although since he was hospitalized that decision was moot. The team allowed his contract to expire a week after the season and he is not employed in the NFL. The Hunt family, which owns the Chiefs, has been in touch with the family of Ariel Young and is now offering support and resources.

Otherwise, it is still wait-and-see in Kansas City for a frustrated public.

There’s still hope for better days for Ariel, and for details and decisions from Kansas City law enforcement and the Chiefs themselves.

More from Yahoo Sports:","As public frustration mounts over Britt Reid crash, here's why he hasn't been charged yet",2021-03-03 14:35:43
18,Chicago Bears ,https://nesn.com/2021/02/carson-wentz-rumors-this-team-is-frontrunner-to-land-quarterback/,"NESN Logo Sign In

Feelings apparently are not mutual between Carson Wentz and his reported strongest suitor.

During an appearance Monday on FOX Sports 1’s “The Herd,” Sports Illustrated’s Albert Breer identified the franchise most likely to acquire the veteran quarterback from the Philadelphia Eagles.

“I think Chicago is the frontrunner this morning, and I do know there’s a feeling inside that building from Ryan Pace, from the coaching staff, Matt Nagy, John DeFilippo (…) they believe, mechanically, they can fix him,” Breer said, as transcribed by NBC Sports Philadelphia.

So what’s the hold-up? Wentz seemingly has been available for trade for a few weeks now, and the Bears are in need of an upgrade under center.

Well, according to Breer, Wentz’s personal desires are serving as a hang-up in trade talks.

“I think the issue right now, Colin, is where Carson Wentz wants to go,” Breer said. “I think it’s become pretty clear he’d rather go to Indianapolis, and I think part of it now, for the Eagles, is, ‘Alright, if our best return now is Chicago over Indy, then we need to convince Carson Wentz, this is the only place you’re going, bud, and you need to buck up and accept this, and realize the Bears are going to give you a good chance.’

“I think it’s pretty clear at this point that the Bears have pushed harder than the Colts to get Carson Wentz. (…) I think the Bears would like to at least know that Carson Wentz is on board before pulling a trigger on a trade.”",Carson Wentz Rumors: This Team Is Frontrunner To Land Quarterback,2021-02-16 06:26:42
19,A case of water. #StopClickBai,https://nesn.com/2021/02/what-gronk-was-carrying-while-arriving-at-bucs-parade-might-surprise-you/,"NESN Logo Sign In

It’s no secret that Rob Gronkowski loves his alcohol. But that doesn’t mean he is an under-prepared, reckless partier.

Gronk on Wednesday arrived at the Tampa Bay Buccaneers’ Super Bowl championship parade carrying not a case of beer, but a case of water. Clearly, the Bucs tight end understood hydration would be imperative on a day in which he would parade and party in 80-degree weather.

Check out this video tweeted by ESPN reporter Jenna Laine:

Smart move, Gronk.

From that point forward, Gronkowski’s behavior was predictable.

The Bucs' boat parade is underway and Gronk is ready to go pic.twitter.com/z0AzyklvFI — NBC Sports Boston (@NBCSBoston) February 10, 2021

All that said, the highlight of the Bucs parade was Tom Brady arriving to the event aboard his own multimillion-dollar luxury boat.",What Rob Gronkowski Brought To Bucs Parade Might Surprise You,2021-02-10 16:00:14
20,"First time the two most recent Super Bowl winning QBs will face each other in the Super Bowl.
",https://www.cbssports.com/nfl/news/why-tom-brady-patrick-mahomes-will-make-super-bowl-history-as-soon-as-they-take-their-first-snaps/,"Tom Brady and Patrick Mahomes are used to making history. Brady, with a record six Super Bowl rings already in his possession, will go for a seventh when the Buccaneers face the Chiefs in Super Bowl LV on Feb. 7 on CBS. Brady's counterpart, Patrick Mahomes, made history last year by becoming the first player to win Super Bowl and league MVP honors before his 25th birthday. A win in Super Bowl LV would make Mahomes the youngest quarterback in history to win multiple Super Bowls.

As soon as they take their first snaps in Super Bowl LV, Brady and Mahomes will make even more NFL history. Brady and Mahomes will become the first winning quarterbacks from the previous two Super Bowls to face each other in the Super Bowl, as noted by NFL Network's Rich Eisen. Brady is two years removed from leading the Patriots to a 13-3 win over the Rams in Super Bowl LIII. Last February, Mahomes rallied the Chiefs to a come-from-behind win over the 49ers to claim Kansas City's first title in 50 years.

While the previous two Super Bowl winning quarterbacks have never faced each other in the Super Bowl, there have been six previous Super Bowls played between quarterbacks who had already won a Super Bowl. Here's a look at the quarterbacks who took part in those games.

Super Bowl Quarterbacks Result X Roger Staubach (DAL), Terry Bradshaw (PIT) Steelers 21, Cowboys 17 XIII Roger Staubach (DAL), Terry Bradshaw (PIT) Steelers 35, Cowboys 31 XVIII Jim Plunkett (LAR), Joe Theismann (WAS) Raiders 38, Washington 9 XLIII Ben Roethlisberger (PIT), Kurt Warner (ARI) Steelers 27, Cardinals 23 XLVI Tom Brady (NE), Eli Manning (NYG) Giants 21, Patriots 17 XLIX Tom Brady (NE), Russell Wilson (SEA) Patriots 28, Seahawks 24

In the previous six games between Super Bowl winning quarterbacks, a quarterback took home the MVP award on three occasions. In Super Bowl XIII, Bradshaw, the league's MVP that season, won his first of two consecutive Super Bowl MVP awards after throwing for 318 yards and four touchdowns in Pittsburgh's second Super Bowl win over Dallas. In the second half of Super Bowl XLVI, Eli Manning helped engineer three scoring drives to help the Giants win their second Super Bowl over the Patriots. In Super Bowl XLIX, Brady's two fourth quarter touchdown passes gave him his fourth Super Bowl ring and third Super Bowl MVP award.

Brady is 2-1 in the Super Bowl against quarterbacks that have already won a ring. His first Super Bowl win came at the expense of Kurt Warner, whose Rams fell to the Patriots in one of the greatest upsets in Super Bowl history. Sandwiched between that win and the Patriots' win over the Seahawks is New England's four-point loss to Eli Manning's Giants in Super Bowl XLVI. Four years earlier, Manning and the Giants had stunned Brady and the previously undefeated Patriots in Super Bowl XLII, 17-14. Overall, Brady is 6-3 in the Super Bowl, and his six Super Bowl wins are two more than the second-winningest Super Bowl quarterbacks: Bradshaw and Joe Montana. His four Super Bowl MVP awards are one more than Montana, who went 4-0 in Super Bowls as the 49ers' quarterback.

The specter of facing the most experienced quarterback in Super Bowl history is not lost on Mahomes, who was asked about his soon-to-be Super Bowl counterpart following Kansas City's victory over Buffalo.

""Yeah I mean, the Super Bowl is the Super Bowl. Being able to go up against one of the greatest, if not the greatest quarterback of all time in his 150th Super Bowl,"" said Mahomes, who is 1-1 against Brady in his career. ""I mean it's going to be a great experience for me. To go out there and get to have a chance to repeat and get to do it against the best, I mean it's something special and I'm excited for the opportunity.""","Why Tom Brady, Patrick Mahomes will make Super Bowl history as soon as they take their first snaps",2021-01-26 07:30:32
21,"Every time Tom Brady lost in Week 1, he made it to the Super Bowl.
",https://www.cbssports.com/nfl/news/tom-brady-has-an-improbable-streak-going-that-he-can-keep-alive-with-a-playoff-win-over-the-packers/,"No team wants to lose during the first week of the regular season, but if Tom Brady is your quarterback, losing can actually be a good thing and that's because Brady currently has a pretty wild streak going that's tied to how his team does in the regular season opener.

Over the course of his 21-year career, Brady has made the Super Bowl in every season where he's lost in Week 1 and that streak will continue this year if Tampa Bay can beat the Packers in Sunday's NFC Championship. In his career, Brady has been the starting quarterback in 19 openers and in those games, he's gone 15-4 as the starter. The first three Week 1 losses resulted in Super Bowl appearances and now, he'll be hoping the fourth Week 1 loss does the same.

Back in Week 1, the Buccaneers lost to New Orleans 34-23, but then they rebounded to go 11-4 over their final 15 games before winning two playoff games to get where they are now.

Here's a look at what happened in the other three seasons where Brady lost in Week 1.

2003

Week 1: 31-0 loss to Buffalo.

The opening week of the 2003 season was arguably one of the most disastrous games of Brady's career in New England. In a road game at Buffalo, Brady completed just 14 of 28 passes for 123 yards while also throwing FOUR interceptions in a 31-0 loss. The blowout loss must have served as a wake-up call because the Patriots would go 14-1 over the rest of the season.

End result: Won Super Bowl XXXVIII. Despite the loss in the opener, Brady and the Patriots still bounced back to make it to the Super Bowl, where they faced the Carolina Panthers. In a 32-29 win over the Panthers, Brady took home the Super Bowl MVP award thanks to a performance that included 354 passing yards and three touchdowns.

2014

Week 1: 33-20 loss to Miami.

During Brady's career, the Patriots always had a tough time playing in Miami and the opening week of the 2014 season was no different. Although the Patriots led 20-10 at halftime, the Dolphins dominated the second half by outscoring New England 23-0.

End result: Won Super Bowl XLIX. The 2014 season marked the first time in 11 years that the Patriots had lost in Week 1, but like they did in 2003, they rebounded with a Super Bowl win. Although Brady threw for 328 yards and four touchdowns, this game is mostly remembered for the fact that the Seahawks didn't give the ball to Marshawn Lynch at the one-yard line on their final offensive play of the game.

2017

Week 1: 42-27 loss to Kansas City.

This is the only opening-week loss of Brady's career that came at home and it was an embarrassing one. In the Thursday night opener, the Patriots got outscored 21-0 in the fourth quarter. Brady got outplayed by Alex Smith, who threw for 368 yards and four touchdowns.

End result: Made it to Super Bowl LII: Like every opening week loss of Brady's career, this season also ended with a Super Bowl appearance. The only difference this time around is that the Patriots didn't actually win the Super Bowl. Despite an NFL-playoff record 505 yards from Brady, the Patriots were still beaten by the Eagles 41-33.

If the Buccaneers can beat the Packers this week, Brady's improbable streak will continue. For more stats on Brady as he heads into his NFL-record 14th conference title game, be sure to click here so you can check out our deep dive into all the impressive numbers he's put in the championship round over the course of his career.",Tom Brady has an improbable streak going that he can keep alive with a playoff win over the Packers,2021-01-22 07:10:50
